,student_id,name,age,city,python_marks,sql_marks,pandas_marks,attendance,total_marks,average_marks
0,S1000,Divya,19,Mumbai,64,80,78,81,222,74.0
1,S1001,Myra,21,Bangalore,99,67,66,87,232,77.33333333333333
2,S1002,Pooja,21,Kolkata,99,46,48,61,193,64.33333333333333
3,S1003,Navya,24,Ahmedabad,99,48,54,65,201,67.0
4,S1004,Krishna,23,Delhi,84,47,54,87,185,61.666666666666664
5,S1005,Ishaan,23,Pune,80,51,65,87,196,65.33333333333333
6,S1006,Manish,24,Bangalore,68,73,81,79,222,74.0
7,S1007,Amit,23,Mumbai,54,72,99,89,225,75.0
8,S1008,Saanvi,20,Ahmedabad,84,87,52,70,223,74.33333333333333
9,S1009,Aarav,21,Bangalore,40,94,90,87,224,74.66666666666667
10,S1010,Arjun,24,Mumbai,64,62,71,84,197,65.66666666666667
11,S1011,Anika,21,Chennai,46,63,78,98,187,62.333333333333336
12,S1012,Sai,18,Chennai,48,76,88,92,212,70.66666666666667
13,S1013,Aadhya,20,Nagpur,63,74,91,60,228,76.0
14,S1014,Diya,22,Bangalore,40,83,71,86,194,64.66666666666667
15,S1015,Neha,20,Chennai,83,79,43,72,205,68.33333333333333
16,S1016,Vivaan,24,Mumbai,47,61,69,62,177,59.0
17,S1017,Aditya,22,Nagpur,63,66,76,98,205,68.33333333333333
18,S1018,Sneha,18,Mumbai,50,74,62,65,186,62.0
19,S1019,Vihaan,24,Nagpur,90,40,78,67,208,69.33333333333333
20,S1020,Karan,19,Bangalore,56,74,84,86,214,71.33333333333333
21,S1021,Rahul,21,Ahmedabad,47,76,54,68,177,59.0
22,S1022,Riya,18,Kolkata,74,86,82,96,242,80.66666666666667
23,S1023,Kavya,21,Jaipur,74,53,68,92,195,65.0
24,S1024,Rohan,23,Ahmedabad,72,42,75,83,189,63.0
25,S1025,Ayaan,19,Hyderabad,98,40,52,74,190,63.333333333333336
26,S1026,Ananya,19,Mumbai,44,44,71,91,159,53.0
27,S1027,Kiara,18,Hyderabad,81,65,46,91,192,64.0
28,S1028,Priya,19,Ahmedabad,78,94,98,83,270,90.0
29,S1029,Reyansh,22,Nagpur,97,53,90,71,240,80.0
